<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GBPNZD,20170110,191700,1.7403,1.7403,1.7401,1.7401
GBPNZD,20170110,191800,1.7403,1.7404,1.7403,1.7403
GBPNZD,20170110,191900,1.7404,1.7406,1.7404,1.7406
GBPNZD,20170110,192000,1.7407,1.7407,1.7407,1.7407
GBPNZD,20170110,192100,1.7406,1.7407,1.7405,1.7405
GBPNZD,20170110,192200,1.7406,1.7406,1.7404,1.7404
GBPNZD,20170110,192300,1.7403,1.7405,1.7403,1.7403
GBPNZD,20170110,192400,1.7404,1.7405,1.7404,1.7404
GBPNZD,20170110,192500,1.7405,1.7405,1.7404,1.7404
GBPNZD,20170110,192600,1.7404,1.7404,1.7403,1.7403
GBPNZD,20170110,192700,1.7404,1.7404,1.7402,1.7402
GBPNZD,20170110,192800,1.7403,1.7403,1.7401,1.7402
GBPNZD,20170110,192900,1.7401,1.7402,1.7399,1.7399
GBPNZD,20170110,193000,1.7397,1.7397,1.7395,1.7396
GBPNZD,20170110,193100,1.7397,1.7397,1.7397,1.7397
GBPNZD,20170110,193200,1.7398,1.7398,1.7394,1.7394
GBPNZD,20170110,193300,1.7395,1.7396,1.7394,1.7395
GBPNZD,20170110,193400,1.7394,1.7394,1.7393,1.7394
GBPNZD,20170110,193500,1.7395,1.7396,1.7395,1.7396
GBPNZD,20170110,193600,1.7397,1.7397,1.7396,1.7397
GBPNZD,20170110,193700,1.7396,1.7396,1.7393,1.7393
GBPNZD,20170110,193800,1.7394,1.7394,1.7392,1.7394
GBPNZD,20170110,193900,1.7396,1.7399,1.7396,1.7396
GBPNZD,20170110,194000,1.7400,1.7401,1.7399,1.7401
GBPNZD,20170110,194100,1.7402,1.7402,1.7399,1.7399
GBPNZD,20170110,194200,1.7400,1.7400,1.7399,1.7400
GBPNZD,20170110,194300,1.7399,1.7401,1.7399,1.7400
GBPNZD,20170110,194400,1.7401,1.7402,1.7400,1.7402
GBPNZD,20170110,194500,1.7403,1.7403,1.7402,1.7403
GBPNZD,20170110,194600,1.7402,1.7403,1.7402,1.7402
GBPNZD,20170110,194700,1.7403,1.7405,1.7403,1.7404
GBPNZD,20170110,194800,1.7406,1.7408,1.7405,1.7406
GBPNZD,20170110,194900,1.7405,1.7406,1.7404,1.7405
GBPNZD,20170110,195000,1.7406,1.7407,1.7405,1.7407
GBPNZD,20170110,195100,1.7406,1.7408,1.7405,1.7408
GBPNZD,20170110,195200,1.7409,1.7410,1.7409,1.7410
GBPNZD,20170110,195300,1.7411,1.7413,1.7411,1.7413
GBPNZD,20170110,195400,1.7412,1.7415,1.7412,1.7415
GBPNZD,20170110,195500,1.7414,1.7418,1.7414,1.7418
GBPNZD,20170110,195600,1.7417,1.7418,1.7417,1.7418
GBPNZD,20170110,195700,1.7417,1.7417,1.7415,1.7416
GBPNZD,20170110,195800,1.7415,1.7418,1.7415,1.7416
GBPNZD,20170110,195900,1.7415,1.7417,1.7414,1.7415
GBPNZD,20170110,200000,1.7414,1.7414,1.7412,1.7412
GBPNZD,20170110,200100,1.7411,1.7413,1.7411,1.7412
GBPNZD,20170110,200200,1.7411,1.7412,1.7410,1.7410
GBPNZD,20170110,200300,1.7409,1.7410,1.7407,1.7409
GBPNZD,20170110,200400,1.7410,1.7411,1.7409,1.7409
GBPNZD,20170110,200500,1.7410,1.7410,1.7407,1.7407
GBPNZD,20170110,200600,1.7408,1.7408,1.7406,1.7407
GBPNZD,20170110,200700,1.7406,1.7407,1.7404,1.7404
GBPNZD,20170110,200800,1.7403,1.7404,1.7400,1.7400
GBPNZD,20170110,200900,1.7402,1.7403,1.7401,1.7401
GBPNZD,20170110,201000,1.7402,1.7402,1.7400,1.7401
GBPNZD,20170110,201100,1.7402,1.7403,1.7402,1.7402
GBPNZD,20170110,201200,1.7403,1.7403,1.7400,1.7400
GBPNZD,20170110,201300,1.7399,1.7401,1.7399,1.7401
GBPNZD,20170110,201400,1.7402,1.7403,1.7401,1.7401
GBPNZD,20170110,201500,1.7402,1.7402,1.7398,1.7399
GBPNZD,20170110,201600,1.7400,1.7402,1.7400,1.7401
GBPNZD,20170110,201700,1.7402,1.7403,1.7402,1.7402
GBPNZD,20170110,201800,1.7402,1.7402,1.7402,1.7402
GBPNZD,20170110,201900,1.7403,1.7404,1.7402,1.7402
GBPNZD,20170110,202000,1.7403,1.7403,1.7402,1.7402
GBPNZD,20170110,202100,1.7403,1.7403,1.7401,1.7401
GBPNZD,20170110,202200,1.7402,1.7404,1.7402,1.7404
GBPNZD,20170110,202300,1.7405,1.7406,1.7403,1.7406
GBPNZD,20170110,202400,1.7405,1.7405,1.7404,1.7405
GBPNZD,20170110,202500,1.7404,1.7404,1.7403,1.7404
GBPNZD,20170110,202600,1.7403,1.7404,1.7402,1.7403
GBPNZD,20170110,202700,1.7404,1.7404,1.7401,1.7402
GBPNZD,20170110,202800,1.7403,1.7403,1.7400,1.7400
GBPNZD,20170110,202900,1.7401,1.7401,1.7398,1.7398
GBPNZD,20170110,203000,1.7397,1.7398,1.7397,1.7398
GBPNZD,20170110,203100,1.7397,1.7397,1.7396,1.7396
GBPNZD,20170110,203200,1.7395,1.7396,1.7395,1.7395
GBPNZD,20170110,203300,1.7394,1.7396,1.7394,1.7396
GBPNZD,20170110,203400,1.7397,1.7399,1.7397,1.7398
GBPNZD,20170110,203500,1.7397,1.7399,1.7397,1.7398
GBPNZD,20170110,203600,1.7399,1.7399,1.7397,1.7397
GBPNZD,20170110,203700,1.7396,1.7397,1.7396,1.7396
GBPNZD,20170110,203800,1.7397,1.7398,1.7397,1.7397
GBPNZD,20170110,203900,1.7398,1.7399,1.7398,1.7399
GBPNZD,20170110,204000,1.7398,1.7399,1.7398,1.7399
GBPNZD,20170110,204100,1.7398,1.7399,1.7398,1.7398
GBPNZD,20170110,204200,1.7397,1.7397,1.7397,1.7397
GBPNZD,20170110,204300,1.7397,1.7397,1.7397,1.7397
GBPNZD,20170110,204400,1.7396,1.7398,1.7396,1.7398
GBPNZD,20170110,204500,1.7399,1.7399,1.7398,1.7399
GBPNZD,20170110,204600,1.7400,1.7400,1.7399,1.7400
GBPNZD,20170110,204700,1.7401,1.7401,1.7398,1.7398
GBPNZD,20170110,204800,1.7399,1.7399,1.7398,1.7398
GBPNZD,20170110,204900,1.7398,1.7399,1.7397,1.7397
GBPNZD,20170110,205000,1.7396,1.7398,1.7396,1.7398
GBPNZD,20170110,205100,1.7397,1.7397,1.7397,1.7397
GBPNZD,20170110,205200,1.7396,1.7397,1.7396,1.7396
GBPNZD,20170110,205300,1.7397,1.7397,1.7395,1.7395
GBPNZD,20170110,205400,1.7394,1.7397,1.7394,1.7397
GBPNZD,20170110,205500,1.7398,1.7399,1.7398,1.7398
GBPNZD,20170110,205600,1.7397,1.7399,1.7397,1.7397
